nom,bucket,tier,score_total,valeur_apportee,proba_acceptation,adresse,cp,ville,telephone,site_url,cuisine,note_google,nb_avis,lighthouse_perf,lighthouse_seo,lighthouse_a11y,lighthouse_bp,lcp_s,cls,age_site_annees,gmb_completude,repond_avis,instagram_actif,mode_degrade,donnees_partielles,drapeau_rouge,mike_override,notes_mike
Bob's Foodcourt,pas-de-site,A,75,90,60,13 Rue des Pierres Missigault,28630,Barjouville,,,,4.5,1851,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Comptoir De Sarah,pas-de-site,A,75,90,60,,,Chartres,,,,4.7,414,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
La Table Du Marché,pas-de-site,A,75,90,60,,,Chartres,,,,4.1,615,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Al-Badea,pas-de-site,A,75,90,60,9 Rue de la Porte Cendreuse,,Chartres,,,,4.6,150,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Aux Délices Chez Jade,pas-de-site,A,75,90,60,3 Rue de la Pie,28000,Chartres,+33982486215,,chinese,4.4,117,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Kebab Express,pas-de-site,A,75,90,60,,,Chartres,,,kebab,4,227,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Big.B,pas-de-site,A,75,90,60,5 Place du Général de Gaulle,28000,Chartres,+33633888500,,burger,4.5,420,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Mésopotamie,pas-de-site,A,75,90,60,,,Chartres,,,kebab,4.7,360,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Boba Choc,pas-de-site,A,75,90,60,,,Chartres,,,bubble_tea,4.8,162,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Papooze,pas-de-site,A,75,90,60,7 Rue Denis Poisson,,Chartres,+332 37 33 73 60,,,4.2,381,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
O'LAC,pas-de-site,A,75,90,60,,,Chartres,,,,4.4,336,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Les 4T,pas-de-site,B,72,90,55,,,Chartres,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Pizza Berllardi,pas-de-site,B,72,90,55,,,Chartres,,,pizza,4.2,65,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Lichette,pas-de-site,B,72,90,55,,,Chartres,,,french,4.7,75,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le XV,pas-de-site,B,72,90,55,,,Chartres,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Lunch'Bar,pas-de-site,B,72,90,55,,,Chartres,,,sandwich,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Speed Rabbit Pizza,pas-de-site,B,72,90,55,,,Chartres,,,pizza,4.2,65,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le 10,pas-de-site,B,72,90,55,1 Parc de l'Equerre,28630,Gellainville,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Crêperie La Poële Percée,pas-de-site,B,72,90,55,7 Rue de la Poële Percée,28000,Chartres,+33237216070,,crepe,4.7,99,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Chat caféiné,pas-de-site,B,72,90,55,,,Chartres,,,coffee_shop,4.9,50,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
18CTea,pas-de-site,B,72,90,55,,,Chartres,,,bubble_tea,4.7,78,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Chez Tonton,pas-de-site,B,72,90,55,,,Chartres,,,chicken sandwich,5,60,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Café Marceau,pas-de-site,B,72,90,55,,,Chartres,,,,4.8,72,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
La Civette,pas-de-site,B,68,90,45,,,Chartres,,,,3.9,210,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Week-End,pas-de-site,B,68,90,45,,,Chartres,,,,3.7,122,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Brasserie de la Préfecture,pas-de-site,B,68,90,45,,,Chartres,,,coffee_shop,4.2,128,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
L'Académie de la Bière,pas-de-site,B,68,90,45,8 Rue du Cheval Blanc,28000,Chartres,+33237369007,,,4.5,394,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Street food,pas-de-site,B,68,90,45,,,Chartres,,,,3.5,125,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Plaza Bar Live,pas-de-site,B,68,90,45,33b Rue des Pierres Missigault,28630,Barjouville,+33 2 36 67 21 28,,,3.9,372,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Artipik,pas-de-site,B,68,90,45,,,Chartres,,,,4.3,255,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Aux Comptoirs,pas-de-site,B,68,90,45,,,Chartres,,,seafood,4.6,228,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Nouvel Orient,pas-de-site,B,65,90,40,,,Chartres,,,asian,4.5,67,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
Le Saint-Vincent,pas-de-site,B,65,90,40,,,Chartres,,,,4.6,54,,,,,,,,15,non mesuré,non détecté,non,non,aucun,,
L’Erfood,pas-de-site,B,65,90,40,29 Rue du Maréchal Leclerc,,Chartres,,,sandwich,4.2,78,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
L'Epsilon,pas-de-site,B,65,90,40,,,Chartres,,,,4.5,72,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Bar Tabac au Pacha,pas-de-site,B,65,90,40,,,Chartres,,,,4.5,96,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
L'Entre-potes,pas-de-site,B,60,90,30,,,Chartres,,,,4.9,10,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
L'Estaminet,pas-de-site,B,60,90,30,,,Chartres,,,,3.9,218,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Le Saloon,pas-de-site,B,60,90,30,,,Chartres,,,,5,1,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
Le Jehan,pas-de-site,B,55,90,20,,,Chartres,,,,3.8,24,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Le Khedive,pas-de-site,B,52,90,15,,,Chartres,,,,3.2,97,,,,,,,,35,non mesuré,non détecté,non,non,Note Google basse : sujet sensible  ne pas aborder le site frontalement.,,
Dwichee's,pas-de-site,C,48,90,5,,,Chartres,,,kebab,3,9,,,,,,,,15,non mesuré,non détecté,non,non,Note Google basse : sujet sensible  ne pas aborder le site frontalement.,,
La Casa Tropical,eatbu,C,44,27,60,8 Rue de la Porte Cendreuse,28000,Chartres,+33 2 37245611,https://lacasatropical.eatbu.com/?lang=fr,,4.4,422,42,92,82,77,10.209339018960625,0.5040730000000001,,85,non mesuré,non détecté,non,non,aucun,,
Jungle Café,eatbu,C,44,29,60,,,Chartres,,https://le-jungle-cafe.eatbu.com/,,4.1,382,43,92,83,73,8.6,0.502,1.1,65,non mesuré,non détecté,non,non,aucun,,
Le 21,eatbu,C,42,24,60,,,Chartres,,https://le-21.eatbu.com/?lang=fr,french,4.8,335,63,92,90,77,12.6,0,,65,non mesuré,non détecté,non,non,aucun,,
Chai Laurent,eatbu,C,42,23,60,2 Rue de la Clouterie,28000,Chartres,+33 2 37 21 17 67,https://chailaurent.eatbu.com/,french,4.6,106,68,92,85,77,9.0,0,,65,non mesuré,non détecté,non,non,aucun,,
L'isola,eatbu,C,42,23,60,,,Chartres,,https://l-isola-chartres.eatbu.com/,pizza,4.7,387,70,92,82,77,15.6,0.004,,65,non mesuré,non détecté,non,non,aucun,,
Aux Vieux Garçons,autre-site,C,42,23,60,,,Chartres,,https://auxvieuxgarcons.fr/,,4.6,532,50,66,93,69,15.5,0.277,4.5,65,non mesuré,non détecté,non,non,aucun,,
Cobalt,autre-site,C,42,23,60,1 Rue Fulbert,28000,Chartres,+33 2 37 27 80 33,https://www.cobalt-chartres.com/,,4.7,846,34,85,82,96,12.754684251209257,0.160544,3.7,65,non mesuré,non détecté,non,non,aucun,,
Le Madrigal,autre-site,C,41,22,60,22 Place des Épars,,Chartres,+33 2 37 18 15 07,https://www.grand-monarque.com/fr/restaurants-bar/bar-lounge-le-madrigal.html,,4.5,468,23,92,83,100,60.13729537814175,1.4067209999999999,,65,non mesuré,non détecté,non,non,aucun,,
Le Parvis,autre-site,C,40,19,60,,,Chartres,,https://www.le-parvis-chartres.fr/,french,4.1,162,36,92,75,81,15.0,0.001,,65,non mesuré,non détecté,non,non,aucun,,
Le Georges,autre-site,C,40,21,60,,,Chartres,+33237181501,https://www.bw-grand-monarque.com/,,4.8,290,29,92,75,100,26.94837197902582,1.371645,,65,non mesuré,non détecté,non,non,aucun,,
Le Comptoir de Mamie  Bigoude,autre-site,C,40,19,60,Place du Cygne,28000,Chartres,,http://www.comptoirmamiebigoude.com/,crepe,4.4,725,57,85,73,78,10.9,0,6.8,65,non mesuré,non détecté,non,non,aucun,,
La Petite Venise,autre-site,C,40,20,60,,,Chartres,,https://www.laguinguettedechartres.fr/,,4.5,1397,52,85,81,100,14.0,0.184,10.2,65,non mesuré,non détecté,non,non,aucun,,
B-Chef,autre-site,C,40,19,60,,,Chartres,+33 2 37 27 08 41,https://bchef.fr/les-restaurants-bchef/bchef-chartres-place-du-cygne/,,4.4,561,39,100,87,100,16.204162839712197,0.037085,4.9,65,non mesuré,non détecté,non,non,aucun,,
Pizza Cosy,autre-site,C,40,21,60,1bis Place du Général de Gaulle,,Chartres,+33 2 42 25 01 60,https://www.pizzacosy.fr/,pizza,4.8,914,42,85,96,100,11.496288903132836,0,9.6,65,non mesuré,non détecté,non,non,aucun,,
Brasserie Le Repère,eatbu,C,40,26,55,33f Rue des Pierres Missigault,28630,Barjouville,+33 2 46 56 96 70,https://le-repere-barjouville.eatbu.com/,,4.7,91,60,92,83,77,11.9,0.0,,65,non mesuré,non détecté,non,non,aucun,,
L'Amphitryon,autre-site,C,39,18,60,,,Chartres,,http://www.leboeufcouronne.com/,,4.6,2216,30,82,85,37,38.2,0.062,,85,non mesuré,non détecté,non,non,aucun,,
Le Francis,autre-site,C,39,18,60,39 Rue des Pierres Missigault,28630,Barjouville,,http://www.restaurantlefrancis.fr/,,4.1,181,32,92,89,59,6.9,0.986,,65,non mesuré,non détecté,non,non,aucun,,
Pitaya,autre-site,C,39,18,60,7 Place Marceau,28000,Chartres,+33 2 57 54 74 43,https://restaurants.pitaya-thaistreetfood.com/chartres/,thai,4,433,42,85,81,88,16.511233691538365,0.305612,,65,non mesuré,non détecté,non,non,aucun,,
Brasserie La Cour,autre-site,C,39,18,60,22 Place des Épars,,Chartres,+33 2 37 18 15 07,https://www.grand-monarque.com/fr/restaurants-bar/brasserie-la-cour.html,,4.6,1823,28,100,83,100,25.596498273527935,0.406012,,65,non mesuré,non détecté,non,non,aucun,,
Tomate & Piment,autre-site,C,38,15,60,Rue Georges Fessard,,Chartres,,http://www.tomate-et-piment.fr/?utm_source=gmb,,4.3,625,17,100,89,56,36.3,2.333,0.5,85,non mesuré,non détecté,non,non,aucun,,
La Chocolaterie,autre-site,C,38,17,60,,,Chartres,,http://www.lachocolaterie-chartres.fr/,coffee_shop,4.1,741,64,85,66,81,10.8,0,10.1,65,non mesuré,non détecté,non,non,aucun,,
Le Café Serpente,autre-site,C,38,17,60,,,Chartres,,https://www.cafeserpente.fr/,french,4.3,2248,36,92,89,77,18.5,0.01,,65,non mesuré,non détecté,non,non,aucun,,
Le Medieval,autre-site,C,38,15,60,Rue Saint-Pierre,28000,Chartres,,http://restaurant-le-medieval.fr/,,4.7,478,57,92,95,81,8.9,0.046,8.2,65,non mesuré,non détecté,non,non,aucun,,
JBJ Sushi,autre-site,C,38,16,60,,,Chartres,,http://jbjsushi.com/,sushi,4.6,317,56,75,84,81,13.4,0,,65,non mesuré,non détecté,non,non,aucun,,
Rive's,autre-site,C,38,16,60,,,Chartres,+33 2 37 25 18 00,https://www.odyssee-chartres.fr/restaurant/,,4,217,67,77,83,100,6.098,0,4.4,65,non mesuré,non détecté,non,non,aucun,,
Piperno,autre-site,C,38,16,60,,,Chartres,+33 2 52 56 42 07,https://piperno.fr,pizza,4.2,538,59,92,79,96,10.651973660656427,0,5.2,65,non mesuré,non détecté,non,non,aucun,,
Hôtel du préfet,autre-site,C,38,31,45,,,Chartres,,https://www.grand-monarque.com/fr/,,4.4,874,20,92,75,100,29.6,1.377,4.5,45,non mesuré,non détecté,non,non,aucun,,
Courte Paille,autre-site,C,37,14,60,,,Chartres,,https://restaurants.courtepaille.com/restaurant-courtepaille-chartres-id206,,4.1,2188,,,,,,,,65,non mesuré,non détecté,oui,non,aucun,,
O Tire Bouchon,autre-site,C,37,14,60,12 Rue au Lait,28000,Chartres,,https://otirebouchon.fr/,Restaurant Lyonnais,4.6,616,92,45,69,88,1.2,0.18,,65,non mesuré,non détecté,non,non,aucun,,
L'Hôtel,autre-site,C,37,29,45,,,Chartres,,https://www.grand-monarque.com/fr/,,4.4,874,16,92,75,100,24.3,1.375,,45,non mesuré,non détecté,non,non,aucun,,
Garage,autre-site,C,37,14,60,,,Chartres,,https://www.barlegaragechartres.fr/,burger,4,508,,,,,,,,65,non mesuré,non détecté,oui,non,aucun,,
iT,autre-site,C,37,14,60,2 Place Marceau,28000,Chartres,+33237995210,https://restaurants.it-trattoria.fr/chartres-place-marceau/,italian,4.3,1376,54,85,85,100,13.3513280005893,0,,65,non mesuré,non détecté,non,non,aucun,,
Uzumaki,autre-site,C,37,14,60,,,Chartres,,https://uzumaki28.com/,sushi,4.3,163,58,75,96,100,17.2,0,,65,non mesuré,non détecté,non,non,aucun,,
Le Montescot,autre-site,C,36,12,60,,,Chartres,,https://cafe-montescot.grubkit.fr/,,4.4,622,100,40,84,96,1.0,0,2.0,65,non mesuré,non détecté,non,non,aucun,,
Les Feuillantines,autre-site,C,36,13,60,,,Chartres,,http://restaurantlesfeuillantines.fr/,french,4.6,850,26,100,86,59,8.3,2.459,1.1,85,non mesuré,non détecté,non,non,aucun,,
Café Bleu,autre-site,C,36,12,60,1 Cloître Notre-Dame,28000,Chartres,,http://www.cafebleu-chartres.com/,french,4.5,2197,52,77,88,81,11.7,0.192,,85,non mesuré,non détecté,non,non,aucun,,
Ellan Vannin,autre-site,C,36,11,60,,,Chartres,,http://www.pub-ellan-vannin.fr/,,4,384,56,92,90,74,29.6,0.129,,65,non mesuré,non détecté,non,non,aucun,,
Le Très Superbe,autre-site,C,36,12,60,6 Rue de la Volaille,28000,Chartres,+33 9 54 34 62 30,https://www.le-tres-superbe.fr/,tea,4.8,233,52,100,78,96,9.3,0.022,,65,non mesuré,non détecté,non,non,aucun,,
Le Kiosque à Pizzas,autre-site,C,36,12,60,30 Rue du Bois Musquet,28300,Champhol,+33 2 37 99 78 67,https://www.le-kiosque-a-pizzas.com/commander-pizza/pizza-champhol-449-0.html,pizza,4.5,124,46,100,96,100,5.6,0.028,10.0,85,non mesuré,non détecté,non,non,aucun,,
Hot Chef,autre-site,C,36,13,60,,,Chartres,,https://bchef.fr/restaurants_bchef/bchef-chartres/burgers_chartres/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,,4.4,561,44,100,87,100,6.6,0.015,,65,non mesuré,non détecté,non,non,aucun,,
Le Rustic,autre-site,C,36,11,60,,,Chartres,,https://www.barlerustic.com/,,4.5,284,53,100,82,96,7.4,0.005,2.0,65,non mesuré,non détecté,non,non,aucun,,
Wok d'Asie,autre-site,C,36,11,60,30 Rue des Pierres Missigault,28630,Barjouville,+33 2 37 28 88 88,https://restaurantwokdasie.wixsite.com/wok-dasie,chinese,4.4,5371,41,100,99,73,13.0,0.014,0.5,65,non mesuré,non détecté,non,non,aucun,,
Unyc Brasserie,autre-site,C,36,13,60,33C Rue des Pierres Missigault,28630,Barjouville,+33 2 37 34 54 89,https://www.unycbrasserie.com/,brasserie,4.6,1809,49,100,93,100,9.002753803336061,0.000161,3.2,65,non mesuré,non détecté,non,non,aucun,,
Le Sully,autre-site,C,36,12,60,,,Chartres,,https://www.bistrotlesullychartres.com/,,4.5,318,56,100,79,96,13.4,0.022,3.2,65,non mesuré,non détecté,non,non,aucun,,
Maleyssie,autre-site,C,36,11,60,,,Chartres,,https://www.maleyssie-chartres.fr/,,4.3,306,49,100,84,100,14.3,0,1.4,65,non mesuré,non détecté,non,non,aucun,,
Mon Paris IV !,autre-site,C,36,13,60,2 Rue Montescot,28000,Chartres,+33237272802,https://mon-paris-iv-restaurant-chartres.fr/fr,brasserie,4.6,327,,,,,,,1.9,65,non mesuré,non détecté,oui,non,aucun,,
Hanami,autre-site,C,36,12,60,,,Chartres,,http://www.hanamihandrolls.fr/,japanese,4.9,251,63,85,82,81,5.5,0.079,,65,non mesuré,non détecté,non,non,aucun,,
Dawat,autre-site,C,35,10,60,,,Chartres,,https://restaurantdawat.fr/,indian,4.7,279,56,92,91,96,10.0,0.004,1.4,65,non mesuré,non détecté,non,non,aucun,,
Anamour kebab,autre-site,C,35,10,60,,,Chartres,,https://anamour-restaurant-luce.order.dish.co/contact,kebab,4.6,300,68,83,91,73,5.8,0,,65,non mesuré,non détecté,non,non,aucun,,
La Picoterie,autre-site,C,34,9,60,,,Chartres,,http://www.picoterie.com/,crepe,4.3,1647,56,92,74,30,12.2,0,,85,non mesuré,non détecté,non,non,aucun,,
La Passacaille,autre-site,C,34,7,60,,,Chartres,,http://www.lapassacaille.fr/,pizza,4.4,1879,72,92,85,78,3.3,0.107,16.4,85,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Kyotori,autre-site,C,34,9,60,13 Rue du Général Koenig,28000,Chartres,+33 2 37 21 69 56,https://kyotori28.com/fr/,sushi,4.6,993,69,75,78,92,7.0,0,,85,non mesuré,non détecté,non,non,aucun,,
Brasserie de l'ouest,autre-site,C,34,8,60,,,Chartres,+33237210745,https://brasseriedelouest.wixsite.com/brasseriedelouest28,,4.2,249,62,92,100,77,6.7,0.017,,65,non mesuré,non détecté,non,non,aucun,,
Le bon coin,eatbu,C,34,22,45,30 Place Jean Moulin,,Chartres,+33 6 74 05 60 39,https://creperie-auboncoin-chartres.eatbu.com/,,3.9,110,71,92,84,73,9.2,0.005,,65,non mesuré,non détecté,non,non,aucun,,
La table de Julie,autre-site,C,34,8,60,,,Chartres,+33237325760,http://latabledejulie.com/,bistro,4.7,1118,63,100,78,81,6.7,0.045,,65,non mesuré,non détecté,non,non,aucun,,
Le Smile,autre-site,C,34,8,60,1 Rue du Bourg,28000,Chartres,,https://www.lesmile28.fr/,,4.7,129,65,100,84,96,6.7,0.007,2.9,65,non mesuré,non détecté,non,non,aucun,,
Pizze,eatbu,C,34,28,40,,,Chartres,,https://restaurantpizze.eatbu.com/,pizza,4,84,61,92,90,73,18.5,0,1.5,45,non mesuré,non détecté,non,non,aucun,,
Bistro des Halles,autre-site,C,34,9,60,,,Chartres,,https://www.le-bistro-des-halles-chartres.fr/,,4.7,225,61,100,100,73,4.3,0,3.4,65,non mesuré,non détecté,non,non,aucun,,
Le Marigny,autre-site,C,34,9,60,11 Place du Général de Gaulle,28000,Chartres,+33237210972,https://lemarignychartres.fr/,,4,248,63,92,88,92,18.4,0,,65,non mesuré,non détecté,non,non,aucun,,
Côté sushi,autre-site,C,34,7,60,,,Chartres,,https://restaurants.cotesushi.com/fr/restaurant-sushi/place-marceau-chartres/,japanese,4.3,914,60,100,96,96,7.6,0.0,,65,non mesuré,non détecté,non,non,aucun,,
Cabanoniers Bar à Pétanques,autre-site,C,34,9,60,12 Allée Prométhée,28000,Chartres,+33 2 37 28 34 41,https://www.cabanoniers.fr/,,4.8,208,57,100,87,73,14.4,0.01,,65,non mesuré,non détecté,non,non,aucun,,
L'Estocade,autre-site,C,33,6,60,1 Rue de la Porte Guillaume,,Chartres,+33 2 37 34 27 17,https://estocade-chartres.fr/,french,4.6,858,64,100,94,100,6.3165,0.16071100000000002,,65,non mesuré,non détecté,non,non,aucun,,
Le Moulin de Ponceau,autre-site,C,33,6,60,,,Chartres,,https://www.restaurant-moulin-ponceau.fr/,,4.6,1210,57,100,79,100,25.131435056130563,0.066475,,85,non mesuré,non détecté,non,non,aucun,,
Pronto Pizza,autre-site,C,33,6,60,Rue du Général Georges Patton,28110,Lucé,,http://www.restaurant-presto.com/,pizza,4.5,251,73,92,95,78,5.4,0,,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Shogun Sushi,autre-site,C,33,6,60,Rue du Docteur Miche Gibert,28000,Chartres,,http://www.shogun-sushi.fr/,japanese,4.6,1087,65,91,82,81,9.6,0,,85,non mesuré,non détecté,non,non,aucun,,
Terra,autre-site,C,33,6,60,,,Chartres,,https://www.terrachartres.com/,italian,4.6,1230,56,100,80,96,10.1,0.016,,85,non mesuré,non détecté,non,non,aucun,,
Kim tea,autre-site,C,33,6,60,,,Chartres,,http://kimtea.fr/,,4.9,143,70,100,100,78,4.2,0.298,3.0,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
La Brochet' du Sud,autre-site,C,33,21,45,8 Cloître Notre-Dame,28000,Chartres,+33237223289,https://cmdlv9.wixsite.com/labrochetdusud,french,4.7,338,86,45,91,96,3.8210833007973815,0,4.4,45,non mesuré,non détecté,non,non,aucun,,
Sakura du Paradis,autre-site,C,32,28,35,,,Chartres,,http://sakuraduparadis.fr/,japanese,3.1,632,20,83,93,78,11.0,0.89,14.3,65,non mesuré,non détecté,non,non,Note Google basse : sujet sensible  ne pas aborder le site frontalement.,,
La Cathédrale,autre-site,C,32,3,60,,,Chartres,,https://lecathedrale-brasserie.fr/,,4.4,630,74,100,96,96,14.6,0.0,,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Pizza 28,autre-site,C,32,3,60,,,Chartres,+33237302632,http://www.pizza-28.fr/,pizza,4.8,255,83,92,88,78,3.5,0,,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Le Tripot,autre-site,C,32,4,60,,,Chartres,,https://letripot.wixsite.com/chartres,french,4.7,540,72,100,94,73,10.3,0.0,9.1,85,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Racines,autre-site,C,32,5,60,49 Rue des Changes,28000,Chartres,,https://www.bistrotracines.fr/,,4.6,1629,70,100,89,73,4.5,0.002,,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
L'Annexe,autre-site,C,32,4,60,Rue du Soleil d'Or,,Chartres,,https://www.annexe-brasserie.fr/,burger french,4.2,1723,81,100,73,77,3.3,0.001,10.5,85,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Chartres à bloc,autre-site,C,32,5,60,,,Chartres,+33 2 34 40 06 32,https://chartresabloc.fr,,4.6,156,68,100,94,100,6.5,0,,65,non mesuré,non détecté,non,non,aucun,,
Les 3 Lys,autre-site,C,31,2,60,,,Chartres,,http://www.creperie-chartres.fr/,crepe,4.4,803,,,,,,,,85,non mesuré,non détecté,oui,non,aucun,,
Le Chêne Fleuri,autre-site,C,31,17,45,,,Chartres,+33237352570,http://www.lechenefleuri.net/,,4.5,105,39,100,99,56,20.9,0,1.7,45,non mesuré,non détecté,non,non,aucun,,
Saveurs & Plaisirs,autre-site,C,30,11,50,,,Chartres,,http://les-plaisirs-tropikal.sumup.link/,,4.9,39,57,92,91,81,20.9,0.107,,65,non mesuré,non détecté,non,non,aucun,,
Le Phare Saint-Louis,autre-site,C,30,1,60,,,Chartres,,https://www.laube-creperie.com/,breton,4.4,929,83,100,95,100,4.4,0.039,,65,non mesuré,non détecté,non,non,Site deja correct : plus dur a convaincre  garder pour quand tu seras rode.,,
Bar des Sports,autre-site,C,30,31,30,,,Chartres,,https://hotelducentre28.com/,,3.9,137,,,,,,,,35,non mesuré,non détecté,oui,non,aucun,,
Le Shalimar,eatbu,C,30,19,40,,,Chartres,,http://leshalimar-chartres.eatbu.com/,indian,4.4,1035,58,92,90,59,20.7,0.0,0.2,85,non mesuré,non détecté,non,non,Site tres recent (<6 mois) : vient d'investir  refusera. Ne pas visiter avant 12 mois.,,
Bar du Stade,autre-site,C,29,13,45,,,Chartres,,https://cafedugeneral.fr/fr,,3.8,684,40,100,100,100,13.7,0,,65,non mesuré,non détecté,non,non,aucun,,
Le Café du Général,autre-site,C,28,11,45,,,Chartres,,https://cafedugeneral.fr/fr,,3.8,684,47,100,100,100,13.4,0,,65,non mesuré,non détecté,non,non,aucun,,
L'Atelier Terroir,autre-site,C,28,25,30,,,Chartres,,http://www.atelier-terroir.fr/,,3.6,168,,,,,,,,45,non mesuré,non détecté,oui,non,aucun,,
Oro,autre-site,C,28,10,45,1 Rue des Orvilles,28630,Barjouville,+33 2 37 28 93 62,https://www.contedivenezia28.fr/,italian,3.8,428,62,92,85,96,9.152,0,,65,non mesuré,non détecté,non,non,aucun,,
